fournisseur;ID_fournisseurs;Nom de l'agence;CP;ville;Latitude ville;Longitude ville;region;Pays;adresse complete;latitude (fournisseur);longitude (fournisseur);Email;Produit 
LOXAM ;Lo;CORNER LOXAM - STARMAT ADMC;91000;AVRAINVILLE;48.5623782;2.247154;ILE DE FRANCE;France ;Route Departementale 449, 91630, France;48.560433;2.282966;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;LOXAM RENTAL FONTENAY TRESIGNY;77000;FONTENAY TRESIGNY;48.7100369;2.8722456;ILE DE FRANCE;France ;Z.A.E. Fregy, 77610, France;48.702312;2.88131;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CREMAILLÈRES LOXAM LAHO TEC;93000;BOBIGNY;48.906387;2.4452231;ILE DE FRANCE;France ;109, rue Benoit Frachon, 93000, France;48.901568;2.429485;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;LOXAM ACCESS PARIS NORD AULNAY;93000;AULNAY SOUS BOIS;48.934231;2.499789;ILE DE FRANCE;France ;4 Rue Jean Chaptal - ZI De La Garenne, 93600, France;48.94483056;2.483931887;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;LOXAM ACCESS PARIS SUD CHILLY;91000;CHILLY MAZARIN;48.7026161;2.3123582;ILE DE FRANCE;France ;14 Bis Rue Denis Papin - ZA La Vigne Aux Loups, 91380, France;48.7084368;2.3040912;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - STARMAT LE HOLLOCO;95000;EZANVILLE;49.031707;2.361889;ILE DE FRANCE;France ;12 avenue Jean Rostand, 95460, France;49.038003;2.342081;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - STARMAT L'ISLE ADAM;95000;L'ISLE ADAM;49.1125294;2.2186324;ILE DE FRANCE;France ;3 avenue Napoleon 1er, 95290, France;49.127439;2.242507;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - STARMAT HERBLAY;95000;HERBLAY;48.9898588;2.166162;ILE DE FRANCE;France ;403 route de conflans, 95220, France;49.00426005;2.1284155;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;LOXAM CITY REPUBLIQUE;75000;PARIS;48.8534951;2.3483915;ILE DE FRANCE;France ;121 Boulevard Richard Lenoir, 75011, France;48.8656592;2.3692127;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;LOXAM CITY PORTE DOREE;75000;PARIS;48.8534951;2.3483915;ILE DE FRANCE;France ;59 Boulevard Poniatowski, 75012, France;48.8332838;2.4012371;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;LOXAM ACCESS PARIS SUD BONDOUFLE;91000;BONDOUFLE;48.6103845;2.3655279;ILE DE FRANCE;France ;22 bis rue Gustave Eiffel, 91070, France;48.622516;2.37635;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - BRICOR MAULE;78000;MAULE;48.9079595;1.8505364;ILE DE FRANCE;France ;59 Boulevard Paul Barre, 78580, France;48.9120152;1.8531873;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - STARMAT ARCUEIL;94000;ARCUEIL;48.8064996;2.3366502;ILE DE FRANCE;France ;81 Avenue Paul Vaillant Couturier, 94110, France;48.798651;2.346078;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - BRICORAMA NEMOURS;77000;NEMOURS;48.2385017;2.7820919;ILE DE FRANCE;France ;21 Rue d'Egreville, 77140, France;48.264775;2.715494;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - BRICOMARCHE VILLENEUVE;94000;VILLENEUVE LE ROI;48.7350308;2.4077003;ILE DE FRANCE;France ;32 Avenue le Foll, 94290, France;48.7301264;2.430354421;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - BRICORAMA ORGEVAL;78000;ORGEVAL;48.9175;1.96982;ILE DE FRANCE;France ;Route de Quarante Sous, 78630, France;48.93289039;1.966982432;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - BRICORAMA VILLIERS;94000;VILLIERS SUR MARNE;48.8262055;2.5406696;ILE DE FRANCE;France ;ZAC, Chemin des Boutareines, 94350, France;48.825959;2.545205;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - BRICORAMA RAMBOUILLET;78000;RAMBOUILLET;48.6452851;1.819207;ILE DE FRANCE;France ;26 Rue Gustave Eiffel, 78120, France;48.62693875;1.825694421;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - GEDIMAT ECUELLES;77000;ECUELLES;48.352101;2.7936471;ILE DE FRANCE;France ;29 Avenue de Sens, 77250, France;48.3706124;2.8290641;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - CASTORAMA VILLABE;91000;VILLABE;48.5885996;2.4544951;ILE DE FRANCE;France ;ZAC des Brateaux - 1 rue de la Plaine, 91100, France;48.58842;2.44496;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - BRICOCASH MORMANT;77000;MORMANT;48.6136858;2.8889649;ILE DE FRANCE;France ;rue Lavoisier, 77720, France;48.61365502;2.881806275;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - BRICOMARCHE DOURDAN;91000;DOURDAN;48.5288442;2.0153689;ILE DE FRANCE;France ;42 rue Raymond Laubier, 91410, France;48.527135;2.020990597;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - WELDOM ONCY SUR ECOLE;91000;ONCY SURECOLE;48.383062;2.4697864;ILE DE FRANCE;France ;Grande Rue, 91490, France;48.38881308;2.470104082;mounir.amraoui@loxam.fr;PETITS ENGINS
